event_name;artist_name;played_date;event_start_date;event_end_date;venue_city;venue_name;venue_country;rating
Tons of Rock 2026;A Perfect Circle;27.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Leprous;27.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Limp Bizkit;27.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Behemoth;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Joan Jett & The Blackhearts;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Mayhem;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Raga Rockers;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Rival Sons;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;The Hellacopters;26.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Anthrax;25.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Ramona's Tea Party;25.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Paleface Swiss;25.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Iron Maiden;25.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Black Debbath;24.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;BABYMETAL;24.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Bring Me The Horizon;24.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;Trivium;24.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Tons of Rock 2026;The Offspring;24.06.2026;24.06.2026;27.06.2026;Oslo;Tons of Rock;Norge;
Hayley Williams at a Bachelorette Party;Hayley Williams;16.06.2026;16.06.2026;16.06.2026;København;Poolen;Danmark;
Hayley Williams at a Bachelorette Party;Water From Your Eyes;16.06.2026;16.06.2026;16.06.2026;København;Poolen;Danmark;
Supercharged Worldwide;The Offspring;10.10.2025;10.10.2025;10.10.2025;Oslo;Telenor Arena;Norge;5
Supercharged Worldwide;Simple Plan;10.10.2025;10.10.2025;10.10.2025;Oslo;Telenor Arena;Norge;4
Mathematics Tour;Ed Sheeran;26.07.2025;26.07.2025;26.07.2025;Oslo;Ullevaal Stadion;Norge;4
Party After Dark;Pitbull;28.06.2025;28.06.2025;28.06.2025;Oslo;Telenor Arena;Norge;3
Download 2024;Sum 41;16.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;5
Download 2024;Zebrahead;16.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Avenged Sevenfold;16.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;4
Download 2024;Bowling For Soup;16.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Limp Bizkit;16.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;3
Download 2024;Zebrahead;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Bowling For Soup;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;4
Download 2024;Enter Shikari;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Fall Out Boy;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;5
Download 2024;Pantera;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Silverstein;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;The Offspring;15.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;4
Download 2024;Black Stone Cherry;14.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Heilung;14.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;5
Download 2024;Queens of  the Stone Age;14.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Download 2024;Wheatus;14.06.2024;14.06.2024;16.06.2024;Derby;Download Festival;England;
Love Sux Tour;Avril Lavigne;26.04.2023;26.04.2023;26.04.2023;Praha;Tipsport Arena;Tsjekkia;5
Green Day / Weezer;Green Day;09.06.2022;09.06.2022;09.06.2022;Ålesund;Color Line Stadion;Norge;4
Green Day / Weezer;Weezer;09.06.2022;09.06.2022;09.06.2022;Ålesund;Color Line Stadion;Norge;3
